current_city,Annual_Mean_Temperature,future_Annual_Mean_Temperature,change_Annual_Mean_Temperature
Ljubljana,9.774999619,13.3,3.525000381
Belgrade,11.88333321,15.36666667,3.48333346
Novi Sad,11.39583302,14.33333333,2.937500318
Budapest,11.23333359,14.26666667,3.033333079
Turin,13.24166679,15.36666667,2.124999873
Yerevan,11.01666641,14.43333333,3.416666921
Vienna,10.54166698,12.86666667,2.324999682
Bratislava,10.3791666,12.96666667,2.587500064
Banja Luka,11.30000019,13.96666667,2.666666476
Fez,18.0625,20.8,2.7375
Zagreb,11.54583359,13.86666667,2.320833079
Milan,13.38333321,15.86666667,2.48333346
Tbilisi,12.86250019,15.73333333,2.870833143
Rostov,9.729166985,12.66666667,2.937499682
Konya,11.13749981,13.93333333,2.795833524
Podgorica,14.95833302,18.03333333,3.075000318
Marrakesh,19.32500076,22.2,2.874999237